#Top: system_wrapper   Floorplan: synth_1   Part: xc7z020clg484-1
#Generated by: icatuna   on: Thu Nov 22 16:55:55 2018
#Build: Vivado v2018.2.2   by: xbuild   on: Mon Oct  1 18:25:44 MDT 2018
#Package Version: FINAL 2012-06-26
#Package Pin Delay Version: VERS. 2.0 2012-06-26

IO Bank,Pin Number,Site,Site Type,Min Trace Delay (ps),Max Trace Delay (ps),Prohibit,Interface,Signal Name,Direction,DiffPair Type,DiffPair Signal,IO Standard,Drive (mA),Slew Rate,OUTPUT_IMPEDANCE,PRE_EMPHASIS,LVDS_PRE_EMPHASIS,EQUALIZATION,Pull Type,DQS_BIAS,IN_TERM,DIFF_TERM,OFFCHIP_TERM,Board Signal,Board Voltage
34,T16,IOB_X1Y58,IO_L21P_T3_DQS_34,128.338,129.628,,cam_pwup_12642,cam_pwup_tri_io[0],INOUT,,,LVCMOS25,12,SLOW,,,,,,,,,FP_VTT_50,,
502,G4,IOPAD_X1Y17,PS_DDR_A14_502,58.236,58.822,,DDR_12642,DDR_addr[14],OUT,,,SSTL15,,SLOW,,,,,,,,,FP_VTT_50,,
502,F4,IOPAD_X1Y18,PS_DDR_A13_502,70.850,71.562,,DDR_12642,DDR_addr[13],OUT,,,SSTL15,,SLOW,,,,,,,,,FP_VTT_50,,
502,H4,IOPAD_X1Y16,PS_DDR_A12_502,51.003,51.516,,DDR_12642,DDR_addr[12],OUT,,,SSTL15,,SLOW,,,,,,,,,FP_VTT_50,,
502,G5,IOPAD_X1Y15,PS_DDR_A11_502,51.905,52.427,,DDR_12642,DDR_addr[11],OUT,,,SSTL15,,SLOW,,,,,,,,,FP_VTT_50,,
502,J3,IOPAD_X1Y14,PS_DDR_A10_502,43.620,44.058,,DDR_12642,DDR_addr[10],OUT,,,SSTL15,,SLOW,,,,,,,,,FP_VTT_50,,
502,H5,IOPAD_X1Y13,PS_DDR_A9_502,53.411,53.947,,DDR_12642,DDR_addr[9],OUT,,,SSTL15,,SLOW,,,,,,,,,FP_VTT_50,,
502,J5,IOPAD_X1Y12,PS_DDR_A8_502,50.285,50.790,,DDR_12642,DDR_addr[8],OUT,,,SSTL15,,SLOW,,,,,,,,,FP_VTT_50,,
502,J6,IOPAD_X1Y11,PS_DDR_A7_502,45.280,45.735,,DDR_12642,DDR_addr[7],OUT,,,SSTL15,,SLOW,,,,,,,,,FP_VTT_50,,
502,J7,IOPAD_X1Y10,PS_DDR_A6_502,50.294,50.799,,DDR_12642,DDR_addr[6],OUT,,,SSTL15,,SLOW,,,,,,,,,FP_VTT_50,,
502,K5,IOPAD_X1Y9,PS_DDR_A5_502,48.188,48.673,,DDR_12642,DDR_addr[5],OUT,,,SSTL15,,SLOW,,,,,,,,,FP_VTT_50,,
502,K6,IOPAD_X1Y8,PS_DDR_A4_502,58.870,59.462,,DDR_12642,DDR_addr[4],OUT,,,SSTL15,,SLOW,,,,,,,,,FP_VTT_50,,
502,L4,IOPAD_X1Y7,PS_DDR_A3_502,42.898,43.329,,DDR_12642,DDR_addr[3],OUT,,,SSTL15,,SLOW,,,,,,,,,FP_VTT_50,,
502,K4,IOPAD_X1Y6,PS_DDR_A2_502,42.061,42.484,,DDR_12642,DDR_addr[2],OUT,,,SSTL15,,SLOW,,,,,,,,,FP_VTT_50,,
502,M5,IOPAD_X1Y5,PS_DDR_A1_502,46.895,47.366,,DDR_12642,DDR_addr[1],OUT,,,SSTL15,,SLOW,,,,,,,,,FP_VTT_50,,
502,M4,IOPAD_X1Y4,PS_DDR_A0_502,44.461,44.908,,DDR_12642,DDR_addr[0],OUT,,,SSTL15,,SLOW,,,,,,,,,FP_VTT_50,,
502,M6,IOPAD_X1Y21,PS_DDR_BA2_502,50.935,51.447,,DDR_12642,DDR_ba[2],OUT,,,SSTL15,,SLOW,,,,,,,,,FP_VTT_50,,
502,L6,IOPAD_X1Y20,PS_DDR_BA1_502,60.452,61.059,,DDR_12642,DDR_ba[1],OUT,,,SSTL15,,SLOW,,,,,,,,,FP_VTT_50,,
502,L7,IOPAD_X1Y19,PS_DDR_BA0_502,49.068,49.561,,DDR_12642,DDR_ba[0],OUT,,,SSTL15,,SLOW,,,,,,,,,FP_VTT_50,,
502,W2,IOPAD_X1Y67,PS_DDR_DQS_N3_502,106.487,107.557,,DDR_12642,DDR_dqs_n[3],INOUT,,,DIFF_SSTL15_T_DCI,,FAST,,,,,,,,,FP_VTT_50,,
502,P2,IOPAD_X1Y66,PS_DDR_DQS_N2_502,66.550,67.219,,DDR_12642,DDR_dqs_n[2],INOUT,,,DIFF_SSTL15_T_DCI,,FAST,,,,,,,,,FP_VTT_50,,
502,J2,IOPAD_X1Y65,PS_DDR_DQS_N1_502,71.992,72.716,,DDR_12642,DDR_dqs_n[1],INOUT,,,DIFF_SSTL15_T_DCI,,FAST,,,,,,,,,FP_VTT_50,,
502,D2,IOPAD_X1Y64,PS_DDR_DQS_N0_502,67.327,68.004,,DDR_12642,DDR_dqs_n[0],INOUT,,,DIFF_SSTL15_T_DCI,,FAST,,,,,,,,,FP_VTT_50,,
502,Y1,IOPAD_X1Y63,PS_DDR_DQ31_502,97.277,98.254,,DDR_12642,DDR_dq[31],INOUT,,,SSTL15_T_DCI,,FAST,,,,,,,,,FP_VTT_50,,
502,W3,IOPAD_X1Y62,PS_DDR_DQ30_502,120.173,121.381,,DDR_12642,DDR_dq[30],INOUT,,,SSTL15_T_DCI,,FAST,,,,,,,,,FP_VTT_50,,
502,Y3,IOPAD_X1Y61,PS_DDR_DQ29_502,119.999,121.205,,DDR_12642,DDR_dq[29],INOUT,,,SSTL15_T_DCI,,FAST,,,,,,,,,FP_VTT_50,,
